0.8997480080640863,,"SimpleArgument(This Owner 's Manual,List([43, 63)))","Relation(describes,List([64, 73)))","SimpleArgument(all standard , country - optional equipment that is offered in the model series,List([74, 153)))","The title is symbols on vehicle components  This Owner's Manual describes all models and all standard, country-specific and optional equipment that is offered in the model series."
0.8997480080640863,,"SimpleArgument(This Owner 's Manual,List([43, 63)))","Relation(describes,List([64, 73)))","SimpleArgument(all standard , country - specific equipment that is offered in the model series,List([74, 153)))","The title is symbols on vehicle components  This Owner's Manual describes all models and all standard, country-specific and optional equipment that is offered in the model series."
0.9380742883576567,,"SimpleArgument(equipment,List([38, 47)))","Relation(is also described,List([48, 65)))","SpatialArgument(in this Owner 's Manual,List([12, 35)))","Therefore, in this Owner's Manual, equipment is also described and illustrated that is not available in your vehicle, e.g., because of the selected optional equipment or the countryspecific variants."
0.9647363032085751,,"SimpleArgument(Reduce distance Increase distance Cruise control rocker switch Instrument cluster,List([676, 757)))","Relation(Steering,List([758, 766)))","SimpleArgument(wheel buttons,List([767, 780)))","The title is no title  Roller sunblinds Rear window safety switch Power windows Exterior mirror operation Glove compartment on the driver's side Driver assistance systems Active blind spot detection Intelligent safety lane departure warning Lamps Front fog lamps Parking lamps Low beams  89 Automatic headlamp control Daytime running lights Adaptive light control High-beam assistant instrument lighting Steering column stalk, left Turn signal High beams, headlamp flasher High-beam assistant Roadside parking lamps Computer Steering wheel buttons, left Store speed Resume speed  127, Cruise control on/off, interrupting Active Cruise Control on/off, interrupting Reduce distance Increase distance Cruise control rocker switch Instrument cluster Steering wheel buttons, right Entertainment source Volume Voice activation Telephone, see user's manual for Navigation, entertainment and communication thumbwheel for selection lists Steering column stalk, right Windshield wipers Rain sensor Clean the windshields and headlamps Start/stop the engine and switch the ignition on/off Auto start/stop function Horn Steering wheel heating Adjust steering wheel Unlock hood."
0.9497646913932042,,"SimpleArgument(Display Owner's Manual"" 3,List([5, 30)))","Relation(Select,List([33, 39)))","SimpleArgument(the desired page in the Owner's Manual,List([40, 78)))","2.  ""Display Owner's Manual"" 3.  Select the desired page in the Owner's Manual."
0.9180804252893389,,"SimpleArgument(the button,List([77, 87)))","Relation(to return,List([88, 97)))","SimpleArgument(to the page of the Owner's Manual,List([98, 131)))",4. Press the button again to return to the function displayed last. 5. Press the button to return to the page of the Owner's Manual displayed last.
0.9387281236502384,,"SimpleArgument(The Owner 's Manual,List([65, 84)))","Relation(can be stored,List([85, 98)))","SpatialArgument(on the programmable memory buttons,List([99, 133)))",The title is changing between a function and the owner's manual  The Owner's Manual can be stored on the programmable memory buttons and called up directly.
0.820322250151534,,"SimpleArgument(Driver's seat position,List([0, 22)))","Relation(automatically retrieved,List([24, 47)))","TemporalArgument(after unlocking,List([48, 63)))",Driver's seat position: automatically retrieved after unlocking.
0.7665350501724939,,"SimpleArgument(the doors,List([3, 12)))","Relation(were not,List([13, 21)))","SimpleArgument(unlocked,List([22, 30)))","If the doors were not unlocked, the trunk lid is locked again as soon as it is pushed closed."
0.7833813375237394,,"SimpleArgument(The other doors,List([0, 15)))","Relation(must be,List([16, 23)))","SimpleArgument(unlocked,List([24, 32)))",The other doors must be unlocked or locked from the inside.
0.8056360478309452,,"SimpleArgument(Driver 's door,List([56, 70)))","Relation(are,List([104, 107)))","SimpleArgument(unlocked,List([108, 116)))","The title is malfunction  The setting is stored for the remote control currently in use. 1.  ""Settings"" 2.  ""Doors/key"" 3. Select symbol or ""Unlock button:"" 4.  Select the desired function:   ""Driver's door only"" Only the driver's door and the fuel filler flap are unlocked."
0.9060539930869013,,"SimpleArgument(Driver 's door only "" Only the fuel filler flap,List([50, 97)))","Relation(are,List([98, 101)))","SimpleArgument(unlocked,List([102, 110)))","The title is malfunction  The setting is stored for the remote control currently in use. 1.  ""Settings"" 2.  ""Doors/key"" 3. Select symbol or ""Unlock button:"" 4.  Select the desired function:   ""Driver's door only"" Only the driver's door and the fuel filler flap are unlocked."
0.8776011732811596,"Context(you can set,List([46, 57)))","SimpleArgument(the doors,List([66, 75)))","Relation(are also,List([76, 84)))","SimpleArgument(unlocked with the button on the remote control,List([85, 131)))","Depending on how the vehicle is equipped or the country-specific variant, you can set whether the doors are also unlocked with the button on the remote control."
0.8776011732811596,"Context(you can set,List([43, 54)))","SimpleArgument(the doors,List([63, 72)))","Relation(are also,List([73, 81)))","SimpleArgument(unlocked with the button on the remote control,List([82, 128)))","Depending on how the vehicle is equipped or the country-specific variant, you can set whether the doors are also unlocked with the button on the remote control."
